Site,Date,Turbidity,Temp,DO,SPC,pH,Cl,Prev_rain_cm,Rain_cm,E_coli_MPN,Total_Coliforms,Flow_min,Flow_mean,Flow_max,Max_Min,Site_Name,Coordinates,lat,lon,Mean,Median,Min,Max,,Site_Name,Turbidity,Temp,DO,SPC,pH,,Site_Name,Percent_Exceedance,,Km
Ranch Bar,2019.09.18,8.975,25.3,9.95,540,8.61,,0,0,49.5,3100,20,25,32,12,Ranch Bar,"39.975796, -80.630572",39.975796,-80.630572,62.84269968,52,9.5,1296,,Ranch Bar,12.9,7.2,12.2,405.3,7.7,,Ranch Bar,,,29
Cricket Hollow,2019.09.18,7.03,23.8,7.8,538,8.46,,0,0,50,2355,20,25,32,12,Cricket Hollow,"39.984494, -80.634026",39.984494,-80.634026,67.94706314,63,9.5,960,,Cricket Hollow,12.3,7.1,11.3,412.9,7.8,,Cricket Hollow,,,25.4
Grandstaff Run,2019.09.18,8.2125,23.9,6.82,513,8.47,,0,0,100,6770,20,25,32,12,Grandstaff Run,"40.008344, -80.637940",40.008344,-80.63794,75.77448653,63,9.5,9675,,Grandstaff Run,13.5,7.3,11.1,364.2,7.9,,Grandstaff Run,,,19.5
Britt's Run,2019.09.18,6.8525,24.3,6.53,338,8.55,,0,0,49.5,7335,20,25,32,12,Britt's Run,"40.018764, -80.652944",40.018764,-80.652944,70.49262777,57.5,9.5,1439,,Britt's Run,13.1,7.3,11,388.5,7.9,,Britt's Run,,,17.5
County Line Bridge,2019.09.18,6.0425,24.6,6.43,512,8.61,,0,0,49.5,5250,20,25,32,12,County Line Bridge,"40.027056, -80.652752",40.027056,-80.652752,60.00843911,63,9.5,1046,,County Line Bridge,12.5,7.2,11.1,396.1,8,,County Line Bridge,,,15.3
Shilling Bridge,2019.09.18,3.6425,23.1,6.24,760,8.32,,0,0,,,20,25,32,12,Elm Grove Park,"40.041344, -80.661545",40.041344,-80.661545,115.5660076,121,9.5,1145,,Elm Grove Park,13.5,7.3,10.5,409.2,8,,Elm Grove Park,,,12.9
Junior Ave,2019.09.18,6.945,23.1,6.68,528,8.45,,0,0,425,5845,20,25,32,12,Junior Ave,"40.044390, -80.660519",40.04439,-80.660519,134.6902842,98,9.5,2050,,Junior Ave,14.8,7.2,10.9,412.6,8,,Junior Ave,,,12.4
Kroger,2019.09.18,6.605,23.2,5.81,611,8.47,,0,0,2890,77655,20,25,32,12,Washington,"40.0706668, -80.6836592",40.0706668,-80.6836592,881.6131721,933,108,9208,,Washington,19.4,4.9,12.9,360.6,7.8,,Washington,,,8.3
Long Run,2019.09.18,1.2475,21,7.32,765,8.38,,0,0,,,20,25,32,12,Kroger,"40.074785, -80.698196",40.074785,-80.698196,592.2736637,563,20,7195,,Kroger,25.5,6.9,10.1,419.8,8,,Kroger,,,6.28
Mouth,2019.09.18,6.0275,24.2,6.45,398.4,8.28,,0,0,49.5,975,20,25,32,12,Fulton,"40.074640, -80.708137",40.07464,-80.708137,305.3326282,331,75,1664,,Fulton,23.2,4.9,12.7,411.9,8,,Fulton,,,5.32
Ranch Bar,2019.09.25,6.8,23.4,9.8,584,8.84,,0,0.508,20,24196,16,20,36,20,Tunnel Green,"40.070978, -80.709708",40.070978,-80.709708,435.2615139,457,31,2295,,Tunnel Green,18.3,6.4,10,441.6,8,,Tunnel Green,,,2.55
